Tipo,Precio,Área,Habitaciones,Baños,Estrato
Casa,550000000,230,2,1,5
Casa,490000000,169,3,4,6
Casa,320000000,140,3,1,4
Casa,750000000,220,4,4,5
Casa,990000000,227,4,4,5
Casa,360000000,200,3,3,6
Casa,380000000,95,2,1,4
Casa,361970474,76,3,2,6
Casa,979999999,200,8,8,4
Casa,1600000000,228,4,4,4
Casa,550000000,240,4,3,6
Casa,950000000,140,4,4,5
Casa,1400000000,243,4,4,5
Casa,1350000000,410,6,5,5
Casa,750000000,127,3,3,4
Casa,680000000,99,2,2,4
Casa,1400000000,220,4,3,4
Casa,1100000000,168,3,3,6
Casa,740000000,137,3,4,5
Casa,460000000,138,4,4,5
Casa,640000000,148,4,3,6
Casa,750000000,200,5,3,6
Casa,600000000,300,5,3,5
Casa,1200000000,280,6,5,4
Casa,450000000,144,4,2,5
Casa,850000000,137,3,4,5
Casa,800000000,200,3,2,4
Casa,351523162,70,3,2,5
Casa,550000000,122,3,3,5
Casa,380000000,135,4,2,4
Casa,790000000,213,3,2,5
Casa,365000000,126,4,3,4
Casa,1400000000,460,6,6,5
Casa,540000000,132,3,2,4
Casa,750000000,137,3,4,4
Casa,900000000,200,3,3,5
Casa,860000000,148,3,3,5
Casa,478000000,150,5,2,5
Casa,440000000,105,3,2,4
Casa,850000000,220,4,5,4
Casa,460000000,114,3,3,5
Casa,310000000,162,6,3,4
Casa,380000000,186,4,2,6
Casa,1200000000,205,4,4,5
Casa,343306383,70,3,1,4
Casa,380000000,120,5,3,4
Casa,346321476,73,3,2,4
Casa,339534824,72,4,2,4
Casa,230000000,90,3,2,4
Casa,600000000,149,4,4,5
Casa,272300000,76,3,3,4
Casa,680000000,210,3,1,5
Casa,405000000,142,4,3,5
Casa,496000000,123,3,3,5
Casa,407000000,80,3,2,5
Casa,370000000,70,3,2,6
Casa,460000000,112,3,3,5
Casa,870000000,264,3,3,4
Casa,352188599,71,2,1,5
Casa,930000000,145,3,3,4
Casa,750000000,100,3,3,6
Casa,380000000,72,3,1,5
Casa,360000000,100,3,2,4
Casa,750000000,216,3,1,6
Casa,570000000,120,2,2,6
Casa,1800000000,530,7,7,6
Casa,500000000,240,4,5,5
Casa,350000000,140,3,2,5
Casa,390000000,287,8,3,4
Casa,1000000000,160,4,4,5
Casa,350000000,90,4,3,4
Casa,1550000000,480,4,5,5
Casa,370000000,125,4,4,6
Casa,1449000000,261,3,3,5
Casa,360000000,90,3,3,6
Casa,1950000000,500,5,5,5
Casa,1650000000,280,4,5,6
Casa,390000000,115,3,3,4
Casa,875000000,450,4,4,5
Casa,520000000,150,4,4,5
Casa,1000000000,240,4,2,4
Casa,650000000,147,4,3,6
Casa,380000000,150,5,4,5
Casa,650000000,310,4,4,4
Casa,360000000,90,4,3,5
Casa,450000000,80,3,2,4
Casa,370000000,90,7,3,4
Casa,580000000,250,6,3,5
Casa,899990000,220,4,4,6
Casa,650000000,220,4,5,4
Casa,850000000,400,10,4,4
Casa,450000000,120,3,3,6
Casa,1380000000,550,4,4,4
Casa,1200000000,260,4,4,5
