Tipo,Precio,Área,Habitaciones,Baños,Estrato
Apartamento,270000000,31,1,1,5
Apartamento,280000000,61,2,2,6
Apartamento,400000000,110,4,2,4
Apartamento,600000000,105,3,3,4
Apartamento,509000000,100,3,3,4
Apartamento,325000000,60,2,1,4
Apartamento,242000000,50,2,2,4
Apartamento,320000000,82,3,2,5
Apartamento,205000000,49,3,2,6
Apartamento,300000000,72,3,2,5
Apartamento,253500000,52,3,2,5
Apartamento,300000000,56,2,2,4
Apartamento,240000000,51,2,2,4
Apartamento,405000000,79,2,2,6
Apartamento,340000000,66,3,2,4
Apartamento,270000000,31,1,1,5
Apartamento,360000000,67,3,2,5
Apartamento,254000000,61,3,2,4
Apartamento,379000000,81,3,2,6
Apartamento,259500000,58,3,2,4
Apartamento,475000000,136,4,3,4
Apartamento,295500000,60,3,2,6
Apartamento,333000000,78,3,2,5
Apartamento,223000000,46,2,2,5
Apartamento,605000000,92,3,2,5
Apartamento,369000000,79,3,2,6
Apartamento,258000000,55,2,2,5
Apartamento,272000000,59,2,2,6
Apartamento,371000000,66,3,2,5
Apartamento,333000000,78,3,2,5
Apartamento,285000000,62,2,2,4
Apartamento,272500000,58,2,2,6
Apartamento,272500000,58,2,2,4
Apartamento,237900000,65,3,1,5
Apartamento,310000000,72,3,2,4
Apartamento,211000000,50,2,2,5
Apartamento,390000000,105,3,3,5
Apartamento,301500000,67,2,2,5
Apartamento,390000000,73,3,2,5
Apartamento,365000000,80,3,2,5
Apartamento,270000000,71,3,2,6
Apartamento,242400000,56,3,2,4
Apartamento,342700000,67,3,2,4
Apartamento,255000000,71,3,2,6
Apartamento,295500000,60,3,2,6
Apartamento,395000000,58,3,2,4
Apartamento,610000000,101,2,2,6
Apartamento,430000000,100,3,2,6
Apartamento,315000000,66,3,2,5
Apartamento,220000000,53,3,1,5
Apartamento,249900000,55,2,2,4
Apartamento,360000000,85,3,2,4
Apartamento,400000000,54,1,1,5
Apartamento,325000000,69,3,2,4
Apartamento,320000000,86,3,3,5
Apartamento,450000000,150,3,4,5
Apartamento,356500000,74,3,2,4
Apartamento,232000000,48,2,1,4
Apartamento,380000000,110,3,2,5
Apartamento,265000000,60,2,2,4
Apartamento,266500000,60,2,2,5
Apartamento,265000000,60,2,2,5
Apartamento,344500000,65,3,2,6
Apartamento,360000000,70,3,2,4
Apartamento,294800000,62,3,2,4
Apartamento,390000000,110,4,2,5
Apartamento,300000000,37,1,2,5
Apartamento,325000000,69,2,2,4
Apartamento,370000000,86,3,2,5
Apartamento,260000000,50,2,2,6
Apartamento,301000000,61,3,2,5
Apartamento,345000000,72,3,2,4
Apartamento,301000000,61,3,2,6
Apartamento,361300000,65,3,2,5
Apartamento,375000000,90,3,3,4
Apartamento,288300000,60,3,2,4
Apartamento,520000000,81,1,2,5
Apartamento,390000000,125,4,3,5
Apartamento,361300000,65,3,2,6
Apartamento,302000000,61,3,2,4
Apartamento,235000000,68,3,2,5
Apartamento,367000000,80,3,2,5
Apartamento,378000000,74,3,2,5
Apartamento,650000000,131,4,2,4
Apartamento,280000000,68,3,2,4
Apartamento,268500000,60,2,2,4
Apartamento,262000000,60,3,2,5
Apartamento,329400000,69,2,2,5
Apartamento,360000000,90,3,3,5
Apartamento,280000000,60,3,2,5
Apartamento,270000000,36,1,1,5
Apartamento,270000000,38,1,1,5
Apartamento,270000000,31,1,1,5
Apartamento,270000000,33,1,1,5
Apartamento,270000000,33,1,1,5
Apartamento,235000000,60,3,2,5
Apartamento,218000000,67,3,2,5
Apartamento,208000000,49,2,1,5
Apartamento,210000000,53,3,1,4
Apartamento,265000000,65,3,2,6
Apartamento,329000000,72,3,2,5
Apartamento,595000000,190,4,4,6
Apartamento,220000000,67,3,1,5
Apartamento,279000000,60,3,2,5
Apartamento,320000000,58,3,2,4
Apartamento,270000000,56,2,2,5
Apartamento,230000000,65,3,1,4
Apartamento,273000000,57,4,2,4
Apartamento,325000000,62,3,2,5
Apartamento,400000000,135,4,4,5
Apartamento,615000000,76,1,2,6
Apartamento,289400000,57,2,2,5
Apartamento,270000000,31,1,1,5
Apartamento,260000000,60,2,1,4
Apartamento,255000000,66,3,1,4
Apartamento,315000000,58,3,2,5
Apartamento,375000000,79,3,2,4
Apartamento,305000000,62,3,2,6
Apartamento,268500000,63,2,2,6
Apartamento,580000000,119,3,3,4
Apartamento,285000000,65,3,2,5
Apartamento,420000000,99,4,3,4
Apartamento,270000000,32,1,1,5
Apartamento,220000000,58,3,2,6
Apartamento,330000000,74,2,2,5
Apartamento,430000000,97,2,3,5
Apartamento,365000000,74,2,2,5
Apartamento,270000000,54,3,2,4
Apartamento,650000000,85,3,2,4
Apartamento,400000000,60,3,2,5
Apartamento,350000000,82,2,1,4
Apartamento,270000000,36,1,1,5
Apartamento,270000000,31,1,1,5
Apartamento,270000000,31,1,1,5
Apartamento,320000000,24,1,1,4
Apartamento,295000000,65,3,1,4
Apartamento,209900000,58,3,2,4
Apartamento,330000000,62,3,2,6
Apartamento,290000000,58,2,2,5
Apartamento,270000000,31,1,1,5
Apartamento,290000000,53,3,2,4
Apartamento,285000000,58,3,2,5
Apartamento,370000000,76,3,2,4
Apartamento,520000000,116,3,3,4
Apartamento,270000000,32,1,1,5
Apartamento,225000000,55,2,2,5
Apartamento,269000000,100,3,2,4
Apartamento,299000000,65,3,2,6
Apartamento,550000000,145,3,4,4
Apartamento,323000000,100,4,3,5
Apartamento,655000000,93,1,2,5
Apartamento,260000000,65,2,2,5
Apartamento,600000000,157,4,3,4
Apartamento,360000000,57,2,2,5
Apartamento,335000000,65,3,2,6
Apartamento,240000000,62,2,2,4
Apartamento,630000000,93,3,2,4
Apartamento,230000000,50,2,1,4
Apartamento,530000000,88,3,2,5
Apartamento,270000000,54,2,2,5
Apartamento,215000000,40,1,1,5
Apartamento,330000000,78,3,2,5
Apartamento,680000000,95,2,2,6
Apartamento,70000000,45,3,1,6
Apartamento,382000000,52,2,1,6
Apartamento,99000000,70,3,1,5
Apartamento,202000000,48,3,1,4
Apartamento,319000000,71,3,2,5
Apartamento,250000000,53,3,2,4
Apartamento,239000000,62,3,2,5
Apartamento,290000000,60,3,2,4
Apartamento,325000000,75,2,2,6
Apartamento,480000000,107,3,3,4
Apartamento,290000000,65,2,2,5
Apartamento,380000000,75,3,2,4
Apartamento,498000000,98,3,3,5
Apartamento,255000000,60,3,2,4
Apartamento,580000000,110,3,3,5
Apartamento,330000000,63,2,2,5
Apartamento,353000000,67,2,2,4
Apartamento,415000000,86,3,2,4
Apartamento,368000000,86,3,3,4
Apartamento,360000000,51,1,1,4
Apartamento,350000000,74,2,2,5
Apartamento,350000000,65,2,2,5
Apartamento,350000000,87,2,2,6
Apartamento,600000000,115,3,3,4
Apartamento,345000000,80,3,2,6
Apartamento,420000000,90,3,2,5
Apartamento,280000000,55,3,2,5
Apartamento,520000000,110,3,2,4
Apartamento,390000000,87,3,3,4
Apartamento,300000000,60,2,2,4
Apartamento,380000000,80,3,2,5
Apartamento,300000000,64,2,2,6
Apartamento,285000000,60,3,2,5
Apartamento,280000000,60,3,2,4
Apartamento,295000000,60,2,2,5
Apartamento,370000000,124,3,3,5
Apartamento,500000000,110,3,2,5
Apartamento,255000000,58,2,2,4
Apartamento,380000000,98,3,3,4
Apartamento,248000000,60,3,2,6
Apartamento,475000000,127,4,4,5
Apartamento,350000000,76,3,2,5
Apartamento,340000000,67,3,2,4
Apartamento,269000000,63,3,2,5
Apartamento,420000000,81,3,2,4
Apartamento,271500000,59,2,2,6
Apartamento,325000000,62,3,2,6
Apartamento,315000000,62,3,2,4
Apartamento,270000000,62,3,2,6
Apartamento,355000000,80,3,2,5
Apartamento,315000000,68,2,2,5
Apartamento,300000000,63,3,2,4
Apartamento,330000000,60,2,2,4
Apartamento,360000000,90,3,2,4
Apartamento,550000000,123,3,3,4
Apartamento,319000000,71,3,2,4
Apartamento,290000000,58,3,2,5
Apartamento,238000000,68,3,3,6
Apartamento,314000000,78,3,2,4
Apartamento,370000000,86,2,2,5
Apartamento,225000000,60,3,2,5
Apartamento,360000000,85,3,2,5
Apartamento,345000000,65,3,2,5
Apartamento,255000000,58,3,2,5
Apartamento,215000000,54,3,2,5
Apartamento,290000000,60,2,2,5
Apartamento,370000000,72,2,2,4
Apartamento,301600000,60,3,2,5
Apartamento,296000000,60,3,2,6
Apartamento,390000000,84,3,2,5
Apartamento,259000000,58,3,2,6
Apartamento,358705000,65,3,2,4
Apartamento,297000000,60,3,2,5
Apartamento,320000000,62,3,2,4
Apartamento,293000000,65,3,2,4
Apartamento,450000000,130,3,3,5
Apartamento,284000000,60,3,2,6
Apartamento,301000000,61,3,2,4
Apartamento,212000000,54,3,1,4
Apartamento,308000000,63,2,2,4
Apartamento,305000000,60,3,2,4
Apartamento,335000000,64,2,2,5
Apartamento,325000000,62,3,2,5
Apartamento,308000000,70,2,2,5
Apartamento,279800000,65,2,2,5
Apartamento,308000000,61,3,2,5
Apartamento,346000000,62,2,2,4
Apartamento,287000000,58,2,2,6
Apartamento,529000000,108,3,3,6
Apartamento,325000000,62,2,2,6
Apartamento,205000000,54,3,1,5
Apartamento,238000000,58,3,1,5
Apartamento,220000000,58,3,2,4
Apartamento,235000000,60,3,1,5
Apartamento,248000000,58,2,2,5
Apartamento,400000000,92,3,2,6
Apartamento,370000000,85,3,3,4
Apartamento,360000000,65,2,2,5
Apartamento,275000000,60,3,2,4
Apartamento,290000000,71,3,2,6
Apartamento,335000000,56,1,1,4
Apartamento,450000000,68,3,2,4
Apartamento,470000000,97,4,3,5
Apartamento,279000000,54,2,2,6
Apartamento,265000000,61,3,2,4
Apartamento,295000000,60,3,2,4
Apartamento,390000000,86,3,3,5
Apartamento,475000000,143,4,3,4
Apartamento,335000000,65,3,1,6
Apartamento,615000000,119,3,2,6
Apartamento,208000000,53,3,1,4
Apartamento,395000000,87,3,3,4
Apartamento,280000000,58,3,2,4
Apartamento,350000000,90,3,2,4
Apartamento,400000000,89,3,2,5
Apartamento,319000000,62,3,2,6
Apartamento,390000000,79,3,2,5
Apartamento,450000000,163,3,3,4
Apartamento,319000000,61,3,2,5
Apartamento,370000000,100,2,2,6
Apartamento,490000000,82,2,2,6
Apartamento,260000000,62,3,1,5
Apartamento,390000000,140,3,3,4
Apartamento,335000000,61,3,2,5
Apartamento,310000000,52,2,2,4
Apartamento,345000000,72,3,2,5
Apartamento,520000000,97,2,2,4
Apartamento,280000000,60,3,2,5
Apartamento,380000000,83,2,2,5
Apartamento,430000000,107,3,3,4
Apartamento,330000000,91,3,2,4
Apartamento,370000000,70,3,2,5
Apartamento,280000000,60,3,2,4
Apartamento,285000000,64,3,1,4
Apartamento,585000000,110,3,2,5
Apartamento,329000000,61,3,2,5
Apartamento,281000000,55,3,2,5
Apartamento,281000000,55,3,2,5
Apartamento,450000000,82,2,2,6
Apartamento,320000000,60,2,2,5
